Ftct,Ftce,Acuracia_Validacao
0.0,0.0,0.9166666666666666
0.0,0.1,0.9166666666666666
0.0,0.2,0.9166666666666666
0.0,0.3,0.9166666666666666
0.0,0.4,0.9166666666666666
0.0,0.5,0.875
0.0,0.6,0.75
0.0,0.7,0.6666666666666666
0.0,0.8,0.4166666666666667
0.0,0.9,0.2916666666666667
0.0,1.0,0.2916666666666667
0.1,0.0,0.9166666666666666
0.1,0.1,0.9166666666666666
0.1,0.2,0.9166666666666666
0.1,0.3,0.9166666666666666
0.1,0.4,0.9166666666666666
0.1,0.5,0.875
0.1,0.6,0.7916666666666666
0.1,0.7,0.7083333333333334
0.1,0.8,0.4583333333333333
0.1,0.9,0.3333333333333333
0.1,1.0,0.3333333333333333
0.2,0.0,0.9166666666666666
0.2,0.1,0.9166666666666666
0.2,0.2,0.9166666666666666
0.2,0.3,0.9166666666666666
0.2,0.4,0.9166666666666666
0.2,0.5,0.875
0.2,0.6,0.7916666666666666
0.2,0.7,0.7083333333333334
0.2,0.8,0.4583333333333333
0.2,0.9,0.3333333333333333
0.2,1.0,0.3333333333333333
0.3,0.0,0.9166666666666666
0.3,0.1,0.9166666666666666
0.3,0.2,0.9166666666666666
0.3,0.3,0.9166666666666666
0.3,0.4,0.9166666666666666
0.3,0.5,0.875
0.3,0.6,0.7916666666666666
0.3,0.7,0.7083333333333334
0.3,0.8,0.4583333333333333
0.3,0.9,0.3333333333333333
0.3,1.0,0.3333333333333333
0.4,0.0,0.9166666666666666
0.4,0.1,0.9166666666666666
0.4,0.2,0.9166666666666666
0.4,0.3,0.9166666666666666
0.4,0.4,0.9166666666666666
0.4,0.5,0.875
0.4,0.6,0.7916666666666666
0.4,0.7,0.7083333333333334
0.4,0.8,0.4583333333333333
0.4,0.9,0.3333333333333333
0.4,1.0,0.3333333333333333
0.5,0.0,0.9166666666666666
0.5,0.1,0.9166666666666666
0.5,0.2,0.9166666666666666
0.5,0.3,0.9166666666666666
0.5,0.4,0.9166666666666666
0.5,0.5,0.875
0.5,0.6,0.7916666666666666
0.5,0.7,0.7083333333333334
0.5,0.8,0.4583333333333333
0.5,0.9,0.3333333333333333
0.5,1.0,0.3333333333333333
0.6,0.0,0.9166666666666666
0.6,0.1,0.9166666666666666
0.6,0.2,0.9166666666666666
0.6,0.3,0.9166666666666666
0.6,0.4,0.9166666666666666
0.6,0.5,0.875
0.6,0.6,0.7916666666666666
0.6,0.7,0.7083333333333334
0.6,0.8,0.4583333333333333
0.6,0.9,0.3333333333333333
0.6,1.0,0.3333333333333333
0.7,0.0,0.9166666666666666
0.7,0.1,0.9166666666666666
0.7,0.2,0.9166666666666666
0.7,0.3,0.9166666666666666
0.7,0.4,0.9166666666666666
0.7,0.5,0.875
0.7,0.6,0.7916666666666666
0.7,0.7,0.7083333333333334
0.7,0.8,0.4583333333333333
0.7,0.9,0.3333333333333333
0.7,1.0,0.3333333333333333
0.8,0.0,0.9166666666666666
0.8,0.1,0.9166666666666666
0.8,0.2,0.9166666666666666
0.8,0.3,0.9166666666666666
0.8,0.4,0.9166666666666666
0.8,0.5,0.875
0.8,0.6,0.7916666666666666
0.8,0.7,0.7083333333333334
0.8,0.8,0.4583333333333333
0.8,0.9,0.3333333333333333
0.8,1.0,0.3333333333333333
0.9,0.0,0.9166666666666666
0.9,0.1,0.9166666666666666
0.9,0.2,0.9166666666666666
0.9,0.3,0.9166666666666666
0.9,0.4,0.9166666666666666
0.9,0.5,0.875
0.9,0.6,0.7916666666666666
0.9,0.7,0.7083333333333334
0.9,0.8,0.4583333333333333
0.9,0.9,0.3333333333333333
0.9,1.0,0.3333333333333333
1.0,0.0,0.9166666666666666
1.0,0.1,0.9166666666666666
1.0,0.2,0.9166666666666666
1.0,0.3,0.9166666666666666
1.0,0.4,0.9166666666666666
1.0,0.5,0.875
1.0,0.6,0.7916666666666666
1.0,0.7,0.7083333333333334
1.0,0.8,0.4583333333333333
1.0,0.9,0.3333333333333333
1.0,1.0,0.3333333333333333
