Epocas,FL,Acuracia_Validacao
5,0.2,0.6666666666666666
5,0.4,0.75
5,0.6,0.75
5,0.8,0.875
5,1.0,0.9583333333333334
10,0.2,0.7916666666666666
10,0.4,0.875
10,0.6,0.8333333333333334
10,0.8,0.8333333333333334
10,1.0,0.8333333333333334
15,0.2,0.6666666666666666
15,0.4,0.7083333333333334
15,0.6,0.7083333333333334
15,0.8,0.8333333333333334
15,1.0,0.875
20,0.2,0.6666666666666666
20,0.4,0.75
20,0.6,0.75
20,0.8,0.875
20,1.0,0.875
30,0.2,0.5833333333333334
30,0.4,0.625
30,0.6,0.75
30,0.8,0.875
30,1.0,0.8333333333333334
